organ,03_months,06_months,12_months,12m,16_months,18m,1m,21_months,21m,23_months,24m,30m,3m,6m
BAT,7.093736721031085e-06,6.531086264838226e-05,6.242331192174433e-06,,1.29706317589795e-05,7.400604229435005e-08,,,8.998120581971136e-09,2.854368950744313e-05,1.4136344304471749e-05,1.6948549230733082e-08,3.300968965946893e-07,
Bone_Marrow,,,,,,1.1946776024007733e-07,4.135119291426293e-08,,3.0898650305033465e-10,,8.964080033813104e-09,2.0287372670679812e-08,5.151280513260302e-10,
Brain,0.0004236565060621,0.000999585944606,,2.2780040320746767e-07,,4.9526439616087714e-08,,0.0003658278917281,1.3857708314191084e-09,,7.492003428755113e-08,,2.3830849071870833e-08,1.775940327020109e-07
Colon,0.0001371853448371,0.0001459188852795,0.0002241769041084,,1.3535731959612995e-05,3.032572247763099e-06,,,6.984153554379091e-07,0.0001240170483249,5.1654114759935865e-06,3.766856550124764e-06,7.332169581486525e-07,
Heart,6.41262774858653e-06,1.1764520937540546e-05,7.207069600556615e-06,,1.3676845371790591e-06,6.869200908088402e-08,1.096800258504338e-06,,3.056544128909877e-09,5.50821622424813e-07,1.3814184685045916e-07,2.0023688585002477e-07,5.3906179187102055e-08,
Ileum,5.643623158646527e-05,1.0162308136107969e-05,1.3102887242877335e-05,0.0004625444035031,4.153772975246106e-06,0.0007303064431447,,,2.0363731836670063e-05,5.588492011709967e-06,1.795492017286904e-07,,,
Kidney,0.0011338094893623,0.0036323911521239,0.0002474458073142,,2.302239305096432e-05,1.357758198095027e-07,1.940034243697042e-06,,1.8900919096509486e-07,0.0001139663473872,2.039230884154364e-08,8.775998339149994e-08,2.030062195013116e-07,
Liver,0.0002409889343644,0.000740338928984,0.0006823896108153,,0.0001048726068709,3.994949149266347e-09,3.431457690217244e-07,,9.14097950377446e-06,9.076446416689254e-05,4.928555341621177e-10,2.587687186750287e-08,2.273015179321547e-05,
Lung,5.264227495471729e-06,1.1737027272307188e-06,3.877584721090344e-07,,1.3317762476150463e-06,1.2616876876592188e-08,1.4299591377664458e-07,,5.0803493856221855e-08,5.615729316010842e-07,2.2200461358146132e-08,4.2086032436827744e-09,1.2268086546640689e-10,
Muscle,6.7063632542829765e-06,3.379884703735847e-05,3.838365603947569e-05,,7.70574058517326e-06,5.188065643757511e-09,,,1.535373083116909e-07,8.838115082898668e-06,3.82135434406905e-10,1.2187314568645746e-07,1.9220336222591786e-07,
Pancreas,,,,,,5.157253402110484e-09,,,2.3722951831839367e-06,,,4.6778677549319525e-06,2.4050886127113813e-07,
Skin,,,,,,,,,4.56291933631503e-05,,0.0007382519115345,,8.335881507404164e-05,
Spleen,,,,0.0001455124078146,,2.0810001766236041e-07,1.313563215976643e-07,,2.639493290601536e-08,,9.356851626840525e-09,4.3909772040606754e-08,2.1314338072286887e-08,4.711557810566092e-10
Stomach,1.2290454125318815e-05,4.356664628346607e-05,1.8528916495563763e-06,0.0001513428003991,8.085780794475639e-06,0.000161786914992,,,,1.3932813293093815e-05,7.243426078940018e-07,,,
Thymus,,,,0.0002745461555586,,1.539137363115728e-07,,,8.077406578044233e-07,,1.1918180035097592e-06,,1.3971070178531164e-07,
