sample,organ,source,age_label,age_m,n_cells
BAT_03_months,BAT,PanSci,03_months,3,10000
BAT_06_months,BAT,PanSci,06_months,6,10000
BAT_12_months,BAT,PanSci,12_months,12,10000
BAT_16_months,BAT,PanSci,16_months,16,10000
BAT_18m,BAT,TMS,18m,18,662
BAT_21m,BAT,TMS,21m,21,794
BAT_23_months,BAT,PanSci,23_months,23,10000
BAT_24m,BAT,TMS,24m,24,848
BAT_30m,BAT,TMS,30m,30,2015
BAT_3m,BAT,TMS,3m,3,713
Bone_Marrow_18m,Bone_Marrow,TMS,18m,18,6712
Bone_Marrow_1m,Bone_Marrow,TMS,1m,1,3027
Bone_Marrow_21m,Bone_Marrow,TMS,21m,21,5216
Bone_Marrow_24m,Bone_Marrow,TMS,24m,24,8279
Bone_Marrow_30m,Bone_Marrow,TMS,30m,30,10000
Bone_Marrow_3m,Bone_Marrow,TMS,3m,3,3490
Brain_03_months,Brain,EasySci,03_months,3,8875
Brain_06_months,Brain,EasySci,06_months,6,8892
Brain_12m,Brain,MCA2,12m,12,6439
Brain_18m,Brain,TMS,18m,18,6636
Brain_21_months,Brain,EasySci,21_months,21,8873
Brain_21m,Brain,TMS,21m,21,11824
Brain_24m,Brain,TMS,24m,24,5336
Brain_3m,Brain,PanSci,3m,3,9048
Brain_6m,Brain,PanSci,6m,6,7006
Colon_03_months,Colon,PanSci,03_months,3,10000
Colon_06_months,Colon,PanSci,06_months,6,10000
Colon_12_months,Colon,PanSci,12_months,12,10000
Colon_16_months,Colon,PanSci,16_months,16,10000
Colon_18m,Colon,TMS,18m,18,2369
Colon_21m,Colon,MCA2,21m,21,10000
Colon_23_months,Colon,PanSci,23_months,23,10000
Colon_24m,Colon,TMS,24m,24,1955
Colon_30m,Colon,TMS,30m,30,1887
Colon_3m,Colon,TMS,3m,3,3987
Heart_03_months,Heart,PanSci,03_months,3,10000
Heart_06_months,Heart,PanSci,06_months,6,10000
Heart_12_months,Heart,PanSci,12_months,12,10000
Heart_16_months,Heart,PanSci,16_months,16,10000
Heart_18m,Heart,TMS,18m,18,1143
Heart_1m,Heart,TMS,1m,1,946
Heart_21m,Heart,TMS,21m,21,918
Heart_23_months,Heart,PanSci,23_months,23,10000
Heart_24m,Heart,TMS,24m,24,768
Heart_30m,Heart,TMS,30m,30,4304
Heart_3m,Heart,TMS,3m,3,534
Ileum_03_months,Ileum,PanSci,03_months,3,9994
Ileum_06_months,Ileum,PanSci,06_months,6,9994
Ileum_12_months,Ileum,PanSci,12_months,12,9996
Ileum_12m,Ileum,MCA2,12m,12,9981
Ileum_16_months,Ileum,PanSci,16_months,16,9995
Ileum_18m,Ileum,MCA2,18m,18,9983
Ileum_21m,Ileum,MCA2,21m,21,9985
Ileum_23_months,Ileum,PanSci,23_months,23,9998
Ileum_24m,Ileum,MCA2,24m,24,9986
Kidney_03_months,Kidney,PanSci,03_months,3,9802
Kidney_06_months,Kidney,PanSci,06_months,6,9773
Kidney_12_months,Kidney,PanSci,12_months,12,9795
Kidney_16_months,Kidney,PanSci,16_months,16,9800
Kidney_18m,Kidney,TMS,18m,18,3040
Kidney_1m,Kidney,TMS,1m,1,2422
Kidney_21m,Kidney,TMS,21m,21,2204
Kidney_23_months,Kidney,PanSci,23_months,23,9795
Kidney_24m,Kidney,TMS,24m,24,5508
Kidney_30m,Kidney,TMS,30m,30,5511
Kidney_3m,Kidney,TMS,3m,3,2254
Liver_03_months,Liver,PanSci,03_months,3,9981
Liver_06_months,Liver,PanSci,06_months,6,9973
Liver_12_months,Liver,PanSci,12_months,12,9969
Liver_16_months,Liver,PanSci,16_months,16,9969
Liver_18m,Liver,TMS,18m,18,1176
Liver_1m,Liver,TMS,1m,1,2785
Liver_21m,Liver,TMS,21m,21,367
Liver_23_months,Liver,PanSci,23_months,23,9983
Liver_24m,Liver,TMS,24m,24,945
Liver_30m,Liver,TMS,30m,30,2272
Liver_3m,Liver,TMS,3m,3,729
Lung_03_months,Lung,PanSci,03_months,3,9996
Lung_06_months,Lung,PanSci,06_months,6,9991
Lung_12_months,Lung,PanSci,12_months,12,9995
Lung_16_months,Lung,PanSci,16_months,16,9996
Lung_18m,Lung,TMS,18m,18,4376
Lung_1m,Lung,TMS,1m,1,2507
Lung_21m,Lung,TMS,21m,21,2950
Lung_23_months,Lung,PanSci,23_months,23,9997
Lung_24m,Lung,TMS,24m,24,1870
Lung_30m,Lung,TMS,30m,30,9994
Lung_3m,Lung,TMS,3m,3,3610
Muscle_03_months,Muscle,PanSci,03_months,3,9995
Muscle_06_months,Muscle,PanSci,06_months,6,9999
Muscle_12_months,Muscle,PanSci,12_months,12,9995
Muscle_16_months,Muscle,PanSci,16_months,16,9997
Muscle_18m,Muscle,TMS,18m,18,1521
Muscle_21m,Muscle,TMS,21m,21,3528
Muscle_23_months,Muscle,PanSci,23_months,23,9995
Muscle_24m,Muscle,TMS,24m,24,1231
Muscle_30m,Muscle,TMS,30m,30,3284
Muscle_3m,Muscle,TMS,3m,3,1102
Pancreas_18m,Pancreas,TMS,18m,18,2071
Pancreas_21m,Pancreas,TMS,21m,21,1437
Pancreas_30m,Pancreas,TMS,30m,30,2642
Pancreas_3m,Pancreas,TMS,3m,3,1588
Skin_21m,Skin,TMS,21m,21,4352
Skin_24m,Skin,TMS,24m,24,1122
Skin_3m,Skin,TMS,3m,3,2346
Spleen_12m,Spleen,MCA2,12m,12,9569
Spleen_18m,Spleen,TMS,18m,18,5929
Spleen_1m,Spleen,TMS,1m,1,2801
Spleen_21m,Spleen,TMS,21m,21,6186
Spleen_24m,Spleen,TMS,24m,24,3954
Spleen_30m,Spleen,TMS,30m,30,8615
Spleen_3m,Spleen,TMS,3m,3,6480
Spleen_6m,Spleen,MCA2,6m,6,9412
Stomach_03_months,Stomach,PanSci,03_months,3,9440
Stomach_06_months,Stomach,PanSci,06_months,6,9361
Stomach_12_months,Stomach,PanSci,12_months,12,9457
Stomach_12m,Stomach,MCA2,12m,12,8218
Stomach_16_months,Stomach,PanSci,16_months,16,9353
Stomach_18m,Stomach,MCA2,18m,18,9552
Stomach_23_months,Stomach,PanSci,23_months,23,9353
Stomach_24m,Stomach,MCA2,24m,24,9381
Thymus_12m,Thymus,MCA2,12m,12,10000
Thymus_18m,Thymus,TMS,18m,18,2040
Thymus_21m,Thymus,TMS,21m,21,2792
Thymus_24m,Thymus,TMS,24m,24,3013
Thymus_3m,Thymus,TMS,3m,3,1430
