sample,organ,age_label,age_m,source,n_cells
BAT_03_months,BAT,03_months,3,PanSci,10000
BAT_06_months,BAT,06_months,6,PanSci,10000
BAT_12_months,BAT,12_months,12,PanSci,10000
BAT_16_months,BAT,16_months,16,PanSci,10000
BAT_18m,BAT,18m,18,TMS,662
BAT_21m,BAT,21m,21,TMS,794
BAT_23_months,BAT,23_months,23,PanSci,10000
BAT_24m,BAT,24m,24,TMS,848
BAT_30m,BAT,30m,30,TMS,2015
BAT_3m,BAT,3m,3,TMS,713
Bone_Marrow_18m,Bone_Marrow,18m,18,TMS,6712
Bone_Marrow_1m,Bone_Marrow,1m,1,TMS,3027
Bone_Marrow_21m,Bone_Marrow,21m,21,TMS,5216
Bone_Marrow_24m,Bone_Marrow,24m,24,TMS,8279
Bone_Marrow_30m,Bone_Marrow,30m,30,TMS,10000
Bone_Marrow_3m,Bone_Marrow,3m,3,TMS,3490
Brain_03_months,Brain,03_months,3,EasySci,8875
Brain_06_months,Brain,06_months,6,EasySci,8892
Brain_12m,Brain,12m,12,Hammond_microglia,2197
Brain_12m,Brain,12m,12,MCA2,4242
Brain_18m,Brain,18m,18,Hammond_microglia,2614
Brain_18m,Brain,18m,18,TMS,4022
Brain_21_months,Brain,21_months,21,EasySci,8873
Brain_21m,Brain,21m,21,TMS,11824
Brain_24m,Brain,24m,24,Hammond_microglia,2659
Brain_24m,Brain,24m,24,TMS,2677
Brain_3m,Brain,3m,3,PanSci,4405
Brain_3m,Brain,3m,3,TMS,4643
Brain_6m,Brain,6m,6,Hammond_microglia,2528
Brain_6m,Brain,6m,6,PanSci,4478
Colon_03_months,Colon,03_months,3,PanSci,10000
Colon_06_months,Colon,06_months,6,PanSci,10000
Colon_12_months,Colon,12_months,12,PanSci,10000
Colon_16_months,Colon,16_months,16,PanSci,10000
Colon_18m,Colon,18m,18,TMS,2369
Colon_21m,Colon,21m,21,MCA2,10000
Colon_23_months,Colon,23_months,23,PanSci,10000
Colon_24m,Colon,24m,24,TMS,1955
Colon_30m,Colon,30m,30,TMS,1887
Colon_3m,Colon,3m,3,TMS,3987
Heart_03_months,Heart,03_months,3,PanSci,10000
Heart_06_months,Heart,06_months,6,PanSci,10000
Heart_12_months,Heart,12_months,12,PanSci,10000
Heart_16_months,Heart,16_months,16,PanSci,10000
Heart_18m,Heart,18m,18,TMS,1143
Heart_1m,Heart,1m,1,TMS,946
Heart_21m,Heart,21m,21,TMS,918
Heart_23_months,Heart,23_months,23,PanSci,10000
Heart_24m,Heart,24m,24,TMS,768
Heart_30m,Heart,30m,30,TMS,4304
Heart_3m,Heart,3m,3,TMS,534
Ileum_03_months,Ileum,03_months,3,PanSci,9994
Ileum_06_months,Ileum,06_months,6,PanSci,9994
Ileum_12_months,Ileum,12_months,12,PanSci,9996
Ileum_12m,Ileum,12m,12,MCA2,9981
Ileum_16_months,Ileum,16_months,16,PanSci,9995
Ileum_18m,Ileum,18m,18,MCA2,9983
Ileum_21m,Ileum,21m,21,MCA2,9985
Ileum_23_months,Ileum,23_months,23,PanSci,9998
Ileum_24m,Ileum,24m,24,MCA2,9986
Kidney_03_months,Kidney,03_months,3,PanSci,9802
Kidney_06_months,Kidney,06_months,6,PanSci,9773
Kidney_12_months,Kidney,12_months,12,PanSci,9795
Kidney_16_months,Kidney,16_months,16,PanSci,9800
Kidney_18m,Kidney,18m,18,TMS,3040
Kidney_1m,Kidney,1m,1,TMS,2422
Kidney_21m,Kidney,21m,21,TMS,2204
Kidney_23_months,Kidney,23_months,23,PanSci,9795
Kidney_24m,Kidney,24m,24,TMS,5508
Kidney_30m,Kidney,30m,30,TMS,5511
Kidney_3m,Kidney,3m,3,TMS,2254
Liver_03_months,Liver,03_months,3,PanSci,9981
Liver_06_months,Liver,06_months,6,PanSci,9973
Liver_12_months,Liver,12_months,12,PanSci,9969
Liver_16_months,Liver,16_months,16,PanSci,9969
Liver_18m,Liver,18m,18,TMS,1176
Liver_1m,Liver,1m,1,TMS,2785
Liver_21m,Liver,21m,21,TMS,367
Liver_23_months,Liver,23_months,23,PanSci,9983
Liver_24m,Liver,24m,24,TMS,945
Liver_30m,Liver,30m,30,TMS,2272
Liver_3m,Liver,3m,3,TMS,729
Lung_03_months,Lung,03_months,3,PanSci,9996
Lung_06_months,Lung,06_months,6,PanSci,9991
Lung_12_months,Lung,12_months,12,PanSci,9995
Lung_16_months,Lung,16_months,16,PanSci,9996
Lung_18m,Lung,18m,18,TMS,4376
Lung_1m,Lung,1m,1,TMS,2507
Lung_21m,Lung,21m,21,TMS,2950
Lung_23_months,Lung,23_months,23,PanSci,9997
Lung_24m,Lung,24m,24,TMS,1870
Lung_30m,Lung,30m,30,TMS,9994
Lung_3m,Lung,3m,3,TMS,3610
Muscle_03_months,Muscle,03_months,3,PanSci,9995
Muscle_06_months,Muscle,06_months,6,PanSci,9999
Muscle_12_months,Muscle,12_months,12,PanSci,9995
Muscle_16_months,Muscle,16_months,16,PanSci,9997
Muscle_18m,Muscle,18m,18,TMS,1521
Muscle_21m,Muscle,21m,21,TMS,3528
Muscle_23_months,Muscle,23_months,23,PanSci,9995
Muscle_24m,Muscle,24m,24,TMS,1231
Muscle_30m,Muscle,30m,30,TMS,3284
Muscle_3m,Muscle,3m,3,TMS,1102
Pancreas_18m,Pancreas,18m,18,TMS,2071
Pancreas_21m,Pancreas,21m,21,TMS,1437
Pancreas_30m,Pancreas,30m,30,TMS,2642
Pancreas_3m,Pancreas,3m,3,TMS,1588
Skin_21m,Skin,21m,21,TMS,4352
Skin_24m,Skin,24m,24,TMS,1122
Skin_3m,Skin,3m,3,TMS,2346
Spleen_12m,Spleen,12m,12,MCA2,9569
Spleen_18m,Spleen,18m,18,TMS,5929
Spleen_1m,Spleen,1m,1,TMS,2801
Spleen_21m,Spleen,21m,21,TMS,6186
Spleen_24m,Spleen,24m,24,TMS,3954
Spleen_30m,Spleen,30m,30,TMS,8615
Spleen_3m,Spleen,3m,3,TMS,6480
Spleen_6m,Spleen,6m,6,MCA2,9412
Stomach_03_months,Stomach,03_months,3,PanSci,9440
Stomach_06_months,Stomach,06_months,6,PanSci,9361
Stomach_12_months,Stomach,12_months,12,PanSci,9457
Stomach_12m,Stomach,12m,12,MCA2,8218
Stomach_16_months,Stomach,16_months,16,PanSci,9353
Stomach_18m,Stomach,18m,18,MCA2,9552
Stomach_23_months,Stomach,23_months,23,PanSci,9353
Stomach_24m,Stomach,24m,24,MCA2,9381
Thymus_12m,Thymus,12m,12,MCA2,10000
Thymus_18m,Thymus,18m,18,TMS,2040
Thymus_21m,Thymus,21m,21,TMS,2792
Thymus_24m,Thymus,24m,24,TMS,3013
Thymus_3m,Thymus,3m,3,TMS,1430
