trait,organ,p_cauchy,logp
AD,BAT,8.998120581971136e-09,8.045848191240045
AD,Bone_Marrow,3.0898650305033465e-10,9.51006049073304
AD,Brain,1.3857708314191084e-09,8.858308584211331
AD,Brown_Fat,6.303494521386899e-05,4.200418620292311
AD,Colon,6.984153554379091e-07,6.155886220750596
AD,Heart,3.056544128909877e-09,8.51476932969468
AD,Ileum,1.795492017286904e-07,6.74581652139614
AD,Kidney,2.039230884154364e-08,7.690533600098494
AD,Liver,4.928555341621177e-10,9.30728036248869
AD,Lung,1.2268086546640689e-10,9.911223168897907
AD,Lymph_Node,5.48962158952726e-07,6.260457591295677
AD,Muscle,3.82135434406905e-10,9.417782689467108
AD,Pancreas,5.157253402110484e-09,8.287581528970529
AD,Skin,5.626046758577807e-06,5.249796662695536
AD,Small_Intestine,4.802507117107613e-05,4.318531982860174
AD,Spleen,4.711557810566092e-10,9.326835475742712
AD,Stomach,7.243426078940018e-07,6.140055967610274
AD,Thymus,1.3971070178531164e-07,6.854770325823572
ALS,Bone_Marrow,8.415393431326912e-06,5.074925575343519
ALS,Brain,2.4477800513178494e-06,5.6112276089082105
ALS,Colon,5.600417382289891e-06,5.25177960512406
ALS,Ileum,8.492096999168641e-05,4.070985053841519
ALS,Liver,3.460063735083452e-06,5.460915901340139
ALS,Lung,8.637800865685108e-07,6.063596812320355
ALS,Lymph_Node,0.0003438584848649,3.4636202547753783
ALS,Spleen,1.2095128302913594e-05,4.9173895203610645
ALS,Stomach,3.642715690310716e-05,4.438574723610565
ALS,Thymus,0.0009566919874758,3.0192278633422998
FTD,Bone_Marrow,0.0318838576548526,1.4964291384409196
FTD,Brain,0.0438571594597794,1.3579595001298244
FTD,Colon,0.047058874418745,1.3273584647412564
FTD,Ileum,0.022559584862911,1.6466688964176768
FTD,Liver,0.0271133898053099,1.5668161820982687
FTD,Lung,0.0515300247085681,1.287939649295335
FTD,Lymph_Node,0.4546312715474312,0.342340694890422
FTD,Spleen,0.0711841555870417,1.1476166623585642
FTD,Stomach,0.0590972651794527,1.2284326163260886
FTD,Thymus,0.9644582436910936,0.015716570432854824
Height,BAT,6.475754197979835e-26,20.0
Height,Bone_Marrow,8.655857329464917e-17,16.062689910455706
Height,Brain,2.80099597057332e-21,20.0
Height,Brown_Fat,1.312283615106935e-13,12.881972293645767
Height,Colon,5.551115123125784e-16,15.255619765854984
Height,Heart,5.088052361325277e-21,20.0
Height,Ileum,1.532107773982716e-14,13.814710683789768
Height,Kidney,4.4153080612046475e-22,20.0
Height,Liver,2.2533884919116656e-18,17.647163927961603
Height,Lung,1.0874176043816202e-20,19.96360364041293
Height,Lymph_Node,1.070032951133726e-12,11.970602848225814
Height,Muscle,4.60570852884869e-23,20.0
Height,Pancreas,3.668724467192798e-20,19.435484903908034
Height,Skin,1.1102230246251563e-15,14.954589770191003
Height,Small_Intestine,1.0313971898767704e-13,12.986574056197362
Height,Spleen,5.6621374255882976e-15,14.247019594093068
Height,Stomach,8.881784197001252e-16,15.05149978319906
Height,Thymus,3.652633751016765e-13,12.43739387224103
MS,Bone_Marrow,3.809564108614438e-09,8.419124713577196
MS,Brain,1.0658634702620515e-06,5.972298421865945
MS,Colon,4.903573949111006e-07,6.309487270868959
MS,Ileum,2.060039274720538e-07,6.686124499712491
MS,Liver,1.725271651098481e-07,6.763142513759033
MS,Lung,9.035861725514849e-09,8.04403042364647
MS,Lymph_Node,3.806173662912471e-07,6.419511400199295
MS,Spleen,5.837718530798952e-09,8.23375684861963
MS,Stomach,2.3940614359729828e-05,4.620864708999905
MS,Thymus,2.977426699302121e-06,5.526158921526281
PD,Bone_Marrow,0.0001052140561161,3.9779262365522907
PD,Brain,1.0097020219923536e-06,5.995806774037164
PD,Colon,3.013325419798374e-05,4.520953964778285
PD,Ileum,0.0001678553441397,3.7750648272283893
PD,Liver,0.003994983432473,2.398485017401423
PD,Lung,5.883699892794692e-05,4.230349487240761
PD,Lymph_Node,0.0020965603789256,2.6784926258162822
PD,Spleen,0.0002141368933643,3.669308502232885
PD,Stomach,0.0007015838376005,3.1539204243765764
PD,Thymus,0.0027992709534776,2.552955062268056
SCZ,BAT,1.832635356802115e-07,6.736923938901677
SCZ,Bone_Marrow,8.383516103549482e-12,11.076573797109297
SCZ,Brain,1.1558506399713924e-31,20.0
SCZ,Brown_Fat,0.0001932730518993,3.7138286955177398
SCZ,Colon,5.3941126170379826e-21,20.0
SCZ,Heart,5.597855512462502e-11,10.251978315400057
SCZ,Ileum,1.9888202196227667e-11,10.701404473363555
SCZ,Kidney,3.945993420906291e-09,8.403843643175687
SCZ,Liver,2.587982737889405e-06,5.587038624782464
SCZ,Lung,1.697985388959822e-07,6.770066051148265
SCZ,Lymph_Node,0.0005721531507864,3.242487706104207
SCZ,Muscle,3.319344799024293e-12,11.478947632636302
SCZ,Pancreas,1.8346435481930712e-11,10.736448302033326
SCZ,Skin,4.294643685121002e-08,7.367072862567315
SCZ,Small_Intestine,1.058257013364372e-05,4.97540884465376
SCZ,Spleen,7.541734305949177e-07,6.122528771783581
SCZ,Stomach,2.7096237203126273e-16,15.567091014490163
SCZ,Thymus,3.628365474284134e-05,4.44028897423853
T2D,BAT,1.792980331283278e-05,4.746424474554934
T2D,Bone_Marrow,5.928840344227027e-07,6.2270302444694705
T2D,Brain,6.839116655432687e-05,4.16499998840345
T2D,Brown_Fat,0.0003904130765184,3.408475644476977
T2D,Colon,1.7709844999380664e-06,5.75178523983806
T2D,Heart,0.0001087027311309,3.9637595442285294
T2D,Ileum,1.2957269782676306e-06,5.887486498714673
T2D,Kidney,1.4495441789108554e-06,5.838768543768926
T2D,Liver,2.944986627195778e-05,4.5309166729475985
T2D,Lung,1.486960851471153e-05,4.827700465381115
T2D,Lymph_Node,0.0004586687526816,3.3385008456543677
T2D,Muscle,8.240894463051873e-06,5.084025647612924
T2D,Pancreas,8.598170164741958e-08,7.065593964094895
T2D,Skin,0.0001161022632498,3.9351593142207806
T2D,Small_Intestine,9.396724926591382e-05,4.027023486203287
T2D,Spleen,2.5584063940709e-06,5.592030468190462
T2D,Stomach,3.280395423777005e-05,4.484073802625628
T2D,Thymus,2.8906130876027447e-05,4.539010035331898
