gene,pathway,tissue,n_eqtl,best_p,ad_snp_is_eqtl,ad_snp_p
PICALM,APP,Colon_Transverse,45,5.37765e-08,False,
PICALM,APP,Colon_Sigmoid,48,2.4864e-09,False,
PICALM,APP,Brain_Cortex,0,,False,
PICALM,APP,Brain_Cerebellum,0,,False,
PICALM,APP,Whole_Blood,59,1.38196e-06,False,
PICALM,APP,Liver,0,,False,
CD2AP,APP,Colon_Transverse,175,1.55928e-06,True,3.53302e-06
CD2AP,APP,Colon_Sigmoid,25,3.18698e-05,False,
CD2AP,APP,Brain_Cortex,3,3.17547e-05,False,
CD2AP,APP,Brain_Cerebellum,66,1.71378e-08,False,
CD2AP,APP,Whole_Blood,98,1.48784e-08,False,
CD2AP,APP,Liver,0,,False,
APP,APP,Colon_Transverse,18,5.99202e-07,False,
APP,APP,Colon_Sigmoid,10,2.58802e-05,False,
APP,APP,Brain_Cortex,0,,False,
APP,APP,Brain_Cerebellum,3,7.25424e-14,False,
APP,APP,Whole_Blood,249,7.46545e-16,False,
APP,APP,Liver,0,,False,
SORL1,APP,Colon_Transverse,0,,False,
SORL1,APP,Colon_Sigmoid,0,,False,
SORL1,APP,Brain_Cortex,0,,False,
SORL1,APP,Brain_Cerebellum,0,,False,
SORL1,APP,Whole_Blood,0,,False,
SORL1,APP,Liver,0,,False,
ADAM10,APP,Colon_Transverse,203,8.72697e-10,False,
ADAM10,APP,Colon_Sigmoid,142,1.54819e-08,False,
ADAM10,APP,Brain_Cortex,0,,False,
ADAM10,APP,Brain_Cerebellum,14,6.74145e-08,False,
ADAM10,APP,Whole_Blood,27,3.1264399999999997e-21,False,
ADAM10,APP,Liver,0,,False,
PSEN1,APP,Colon_Transverse,0,,False,
PSEN1,APP,Colon_Sigmoid,0,,False,
PSEN1,APP,Brain_Cortex,0,,False,
PSEN1,APP,Brain_Cerebellum,1,2.21868e-05,False,
PSEN1,APP,Whole_Blood,250,1.60036e-27,False,
PSEN1,APP,Liver,210,6.30566e-08,False,
CR1,APP,Colon_Transverse,0,,False,
CR1,APP,Colon_Sigmoid,24,4.60457e-07,True,9.18396e-07
CR1,APP,Brain_Cortex,38,7.57438e-10,True,2.20042e-09
CR1,APP,Brain_Cerebellum,0,,False,
CR1,APP,Whole_Blood,4,8.29772e-06,False,
CR1,APP,Liver,0,,False,
TREM2,Myeloid,Colon_Transverse,0,,False,
TREM2,Myeloid,Colon_Sigmoid,0,,False,
TREM2,Myeloid,Brain_Cortex,0,,False,
TREM2,Myeloid,Brain_Cerebellum,0,,False,
TREM2,Myeloid,Whole_Blood,0,,False,
TREM2,Myeloid,Liver,0,,False,
SPI1,Myeloid,Colon_Transverse,0,,False,
SPI1,Myeloid,Colon_Sigmoid,0,,False,
SPI1,Myeloid,Brain_Cortex,0,,False,
SPI1,Myeloid,Brain_Cerebellum,0,,False,
SPI1,Myeloid,Whole_Blood,0,,False,
SPI1,Myeloid,Liver,0,,False,
BIN1,Myeloid,Colon_Transverse,66,2.56874e-12,False,
BIN1,Myeloid,Colon_Sigmoid,126,3.19881e-22,False,
BIN1,Myeloid,Brain_Cortex,0,,False,
BIN1,Myeloid,Brain_Cerebellum,73,3.94785e-21,False,
BIN1,Myeloid,Whole_Blood,250,3.15642e-35,False,
BIN1,Myeloid,Liver,29,4.0699e-07,False,
