,EPCAM,KRT8,MUC2,VIL1,KRT19,BEST4,LGR5,OLFM4,CD68,CD163,CD14,AIF1,LYZ,C1QA,C1QB,TYROBP
PICALM,0.13540143252104014,0.12618620063551508,0.1377990901083465,0.12476825245153744,0.12593079354874753,0.09429675212133541,0.026061693485562896,0.04555769332790696,0.026894371068475306,0.04672866553578247,0.028946078763219963,0.026463065248465884,0.09104256115669851,0.056109466132394176,0.07424277298813592,0.050898181888705735
CD2AP,0.536050763665888,0.46748401962845065,0.5080585325613973,0.5014643697528762,0.5034931224118415,0.3342082832496677,0.04439161455531679,0.14123110439261866,0.07315409655185265,0.0006690650961479376,0.05547528725899367,0.08699611351214498,0.3076902857835677,0.052292069749222146,0.08334806933857322,0.06350169566833581
ADAM10,0.0658022389804891,0.051750771538402435,0.059228883656463255,0.08214822042121961,0.05234141018559768,0.03731261862553656,0.009802133628257131,0.01457168137268316,0.0020495874095750946,0.026563131062145914,0.01932282145538017,0.01382649961255863,0.0543680090767092,0.006369804628492279,0.030610603285064656,0.009776277031600427
CR1,-0.04266366111702673,-0.02907100693977772,-0.053512664776475205,-0.043755172256047165,-0.033598431723814784,-0.028697295439683516,-0.006384170531512136,0.0019967829037053865,0.03448254060669069,0.016969748164836054,0.029200129441137385,0.03023629331230483,-0.010406849085489129,0.09201491056891567,0.05685185776885128,0.052846055226918015
APP,0.04239854740846277,0.027679758410638987,0.04670038067462995,0.05498816733306171,0.042442480122810856,0.014611516189309367,0.015428346458398615,0.05043548160155589,0.03576263265243549,0.017088711926393767,0.048863339331690625,0.0161742344050135,0.03452535886200972,0.04423899207689253,0.045778962602901555,-0.0003701242129811287
APOE,-0.13073912683664082,-0.10273268898270185,-0.1061564523080967,-0.11883719615036165,-0.11766412847697236,-0.06388989077773773,-0.028212685557954986,-0.043266840577644794,0.11272985093645513,0.08681431936840076,0.09522242324057034,0.05871648011184124,0.0006066516385305086,0.12491430832097836,0.10254627664690794,0.06595049238445164
BIN1,-0.06050454102081655,-0.05805237038294264,-0.05398654421083425,-0.05049557600184534,-0.07336956169818781,-0.07626793793829062,0.022860599858726342,0.02545569553264018,0.01517302087897802,0.04644826626342257,0.029667300589405726,0.030328548209585006,-0.028562358987313838,0.03956828066596797,0.013757166259029015,0.030328167042890045
SORL1,0.4643813085630411,0.418678035213371,0.43526555700557046,0.4462411749117551,0.44383653950849844,0.29810821646883423,0.03759989940748598,0.12816189486164797,0.06006444912001953,-0.03779215655775045,0.06958506419869709,0.07561871212100602,0.3240586221565043,0.02159179254284789,0.07105572527211489,0.0732946222582467
PSEN1,0.2650286615635405,0.2525052330257368,0.2644053424496959,0.25874327126388574,0.24162518217680734,0.16180366692356507,0.021924472653385124,0.0931884063917168,0.009892160978148691,-0.03827207170774283,0.014450393790569718,0.04069000223041794,0.1423149157783814,-0.0129121116835913,0.011997507514238254,-0.00979940081757298
TREM2,0.012026246433434806,0.01714851882823388,0.010860510597308859,0.027863766997262028,0.02818179302462584,0.006379436546413824,0.01858795065335637,-2.8100166460365977e-05,0.022612406589761228,0.02583215286137916,-0.0016664456565026239,0.022957468684599393,0.030173716757236964,0.03208042559476145,0.026915198863074717,0.03818293540805541
CD33,0.005774721058169067,0.0002603703906893882,-0.013144387506703617,-0.008476914422514605,-0.000900763513907046,-0.005133301051724083,-0.011528209587312242,-0.0026783113407333487,0.03319642345796369,0.08230620039109071,0.04926720089081184,0.02909738807167981,0.02484425280909012,0.05711617889486637,0.10745588260128341,0.06337449036057753
INPP5D,0.07474605408401523,0.06788245742260351,0.07492876658236519,0.07330629442773373,0.06576069182645419,0.042684220862613365,0.011191323933760614,0.030719245735000605,0.06750027939241518,0.08066886762407462,0.0378274388877874,0.09452068527658382,0.11065147888087234,0.07121434175733929,0.09046091458653924,0.07868833109127873
SPI1,0.09532159162836251,0.06517733817344051,0.07505645471449864,0.09567768860821375,0.09433718394893365,0.07004894912274345,-0.0004450859018043374,0.018223566058059297,0.09519328923593184,0.12273210308141982,0.17397233084550803,0.12383598445279304,0.23962782372565464,0.1831137580675848,0.20245868395350577,0.1515650373901234
