gene,method,metric,value,tissue
CR1,GTEx,colon_n_eQTL,24,Colon (Trans+Sigmoid)
CR1,GTEx,colon_best_eQTL_p,4.60e-07,Colon (Trans+Sigmoid)
CR1,GTEx,AD_SNP_is_colon_eQTL,Yes,Colon (Trans+Sigmoid)
CR1,coloc-ABF,best_PP_H4,0.9925,Colon (Trans+Sigmoid)
CR1,coloc-ABF,best_PP_H3,0.3416,Colon (Trans+Sigmoid)
CR1,SharePro,share_probability,0.9991,Colon (multi-causal)
CR1,SMR,best_SMR_p,2.07e-06,Colon (Trans+Sigmoid)
CR1,HEIDI,p_at_best_SMR,0.00e+00,Colon (Trans+Sigmoid)
PICALM,GTEx,colon_n_eQTL,93,Colon (Trans+Sigmoid)
PICALM,GTEx,colon_best_eQTL_p,2.49e-09,Colon (Trans+Sigmoid)
PICALM,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
PICALM,coloc-ABF,best_PP_H4,0.0001,Colon (Trans+Sigmoid)
PICALM,coloc-ABF,best_PP_H3,0.9995,Colon (Trans+Sigmoid)
PICALM,SharePro,share_probability,0.9977,Colon (multi-causal)
PICALM,SMR,best_SMR_p,1.34e-03,Colon (Trans+Sigmoid)
PICALM,HEIDI,p_at_best_SMR,0.00e+00,Colon (Trans+Sigmoid)
CD2AP,GTEx,colon_n_eQTL,200,Colon (Trans+Sigmoid)
CD2AP,GTEx,colon_best_eQTL_p,1.56e-06,Colon (Trans+Sigmoid)
CD2AP,GTEx,AD_SNP_is_colon_eQTL,Yes,Colon (Trans+Sigmoid)
CD2AP,coloc-ABF,best_PP_H4,,Colon (Trans+Sigmoid)
CD2AP,coloc-ABF,best_PP_H3,,Colon (Trans+Sigmoid)
CD2AP,SharePro,share_probability,,Colon (multi-causal)
CD2AP,SMR,best_SMR_p,,Colon (Trans+Sigmoid)
CD2AP,HEIDI,p_at_best_SMR,,Colon (Trans+Sigmoid)
ADAM10,GTEx,colon_n_eQTL,345,Colon (Trans+Sigmoid)
ADAM10,GTEx,colon_best_eQTL_p,8.73e-10,Colon (Trans+Sigmoid)
ADAM10,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
ADAM10,coloc-ABF,best_PP_H4,0.0004,Colon (Trans+Sigmoid)
ADAM10,coloc-ABF,best_PP_H3,0.9996,Colon (Trans+Sigmoid)
ADAM10,SharePro,share_probability,0.0005,Colon (multi-causal)
ADAM10,SMR,best_SMR_p,4.00e-04,Colon (Trans+Sigmoid)
ADAM10,HEIDI,p_at_best_SMR,0.00e+00,Colon (Trans+Sigmoid)
APP,GTEx,colon_n_eQTL,28,Colon (Trans+Sigmoid)
APP,GTEx,colon_best_eQTL_p,5.99e-07,Colon (Trans+Sigmoid)
APP,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
APP,coloc-ABF,best_PP_H4,0.0982,Colon (Trans+Sigmoid)
APP,coloc-ABF,best_PP_H3,0.9621,Colon (Trans+Sigmoid)
APP,SharePro,share_probability,,Colon (multi-causal)
APP,SMR,best_SMR_p,1.48e-02,Colon (Trans+Sigmoid)
APP,HEIDI,p_at_best_SMR,1.47e-129,Colon (Trans+Sigmoid)
SORL1,GTEx,colon_n_eQTL,0,Colon (Trans+Sigmoid)
SORL1,GTEx,colon_best_eQTL_p,,Colon (Trans+Sigmoid)
SORL1,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
SORL1,coloc-ABF,best_PP_H4,0.0514,Colon (Trans+Sigmoid)
SORL1,coloc-ABF,best_PP_H3,0.1161,Colon (Trans+Sigmoid)
SORL1,SharePro,share_probability,,Colon (multi-causal)
SORL1,SMR,best_SMR_p,4.22e-01,Colon (Trans+Sigmoid)
SORL1,HEIDI,p_at_best_SMR,2.61e-43,Colon (Trans+Sigmoid)
PSEN1,GTEx,colon_n_eQTL,0,Colon (Trans+Sigmoid)
PSEN1,GTEx,colon_best_eQTL_p,,Colon (Trans+Sigmoid)
PSEN1,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
PSEN1,coloc-ABF,best_PP_H4,0.037,Colon (Trans+Sigmoid)
PSEN1,coloc-ABF,best_PP_H3,0.0388,Colon (Trans+Sigmoid)
PSEN1,SharePro,share_probability,,Colon (multi-causal)
PSEN1,SMR,best_SMR_p,1.49e-02,Colon (Trans+Sigmoid)
PSEN1,HEIDI,p_at_best_SMR,4.28e-17,Colon (Trans+Sigmoid)
BIN1,GTEx,colon_n_eQTL,192,Colon (Trans+Sigmoid)
BIN1,GTEx,colon_best_eQTL_p,3.20e-22,Colon (Trans+Sigmoid)
BIN1,GTEx,AD_SNP_is_colon_eQTL,No,Colon (Trans+Sigmoid)
BIN1,coloc-ABF,best_PP_H4,0.0,Colon (Trans+Sigmoid)
BIN1,coloc-ABF,best_PP_H3,1.0,Colon (Trans+Sigmoid)
BIN1,SharePro,share_probability,,Colon (multi-causal)
BIN1,SMR,best_SMR_p,,Colon (Trans+Sigmoid)
BIN1,HEIDI,p_at_best_SMR,,Colon (Trans+Sigmoid)
